2262	3
0.0497952	0.0150001	-0.0360698
0.0597952	0.0150001	-0.0187493
0.01	0.013607	0.0642351
-0.01	0.013607	0.0642351
-0.0508056	0.015	-0.0366531
0.051135	0.015	-0.0137493
0.041135	0.015	-0.0310698
-0.01	0.0149544	0.0543263
0.01	0.0149544	0.0543263
-0.0421453	0.015	-0.0316531
0.0497952	-0.00499987	-0.0360698
0.0597952	-0.00499987	-0.0187493
0.01	-0.00639304	0.0642351
-0.01	-0.00639304	0.0642351
-0.0521453	0.015	-0.0143326
-0.0608056	0.015	-0.0193326
-0.0508056	-0.00499996	-0.0366531
0.051135	-0.00499997	-0.0137493
0.041135	-0.00499997	-0.0310698
-0.01	-0.00504558	0.0543263
0.01	-0.00504558	0.0543263
-0.0421453	-0.005	-0.0316531
-0.0378152	-0.02	-0.0291531
-0.005	-0.02	-0.0102073
0.005	-0.02	-0.0102073
0.0368048	-0.02	-0.0285698
0.0468048	-0.02	-0.0112493
0.015	-0.02	0.00711325
0.01	-0.02	0.0157735
0.01	-0.02	0.05
-0.01	-0.02	0.05
-0.0521453	-0.005	-0.0143326
-0.0608056	-0.00499996	-0.0193326
-0.01	-0.02	0.0157735
-0.0378152	-0.01	-0.0291531
-0.005	-0.01	-0.0102073
0.005	-0.01	-0.0102073
0.0368048	-0.01	-0.0285698
0.0468048	-0.01	-0.0112493
0.015	-0.01	0.00711325
0.01	-0.01	0.0157735
0.01	-0.01	0.05
-0.01	-0.01	0.05
-0.01	-0.01	0.0157735
-0.015	-0.02	0.00711325
-0.0478152	-0.02	-0.0118326
-0.015	-0.01	0.00711325
-0.0478152	-0.01	-0.0118326
0.0540275	0.0150001	-0.0154193
0.0569113	0.0150001	-0.0170843
0.0583652	0.0150001	-0.0212261
0.0569352	0.0150001	-0.0237029
0.0555052	0.0150001	-0.0261798
0.0540752	0.0150001	-0.0286566
0.0526452	0.0150001	-0.0311334
0.0512152	0.0150001	-0.0336103
0.0440275	0.0150001	-0.0327398
0.0469113	0.0150001	-0.0344048
0.049705	0.015	-0.0162261
0.048275	0.015	-0.0187029
0.046845	0.015	-0.0211798
0.045415	0.015	-0.0236566
0.043985	0.015	-0.0261334
0.042555	0.015	-0.0286103
0.051135	-0.00213997	-0.0137493
0.051135	0.000720027	-0.0137493
