7449	4	1	1
951	949	936	1959	
198	197	741	1058	
1124	1130	1125	2066	
661	1904	660	841	
1358	2152	2215	2000	
1900	965	966	824	
2063	1667	2064	2238	
2034	2033	1240	2037	
1793	468	1500	1501	
2136	859	2138	860	
684	2138	572	2139	
2010	1341	1263	2120	
823	247	246	965	
2006	1062	326	1881	
1900	965	971	966	
1295	406	407	1163	
2260	1472	2124	1457	
1904	679	680	653	
1358	2152	1430	2215	
555	554	1825	126	
2134	1874	1825	794	
654	681	680	2136	
1693	2114	2054	2056	
1505	1797	2112	1796	
737	738	1870	1869	
1810	1809	2109	1796	
684	2138	696	685	
471	470	1795	1503	
1250	370	369	1112	
2097	2176	1612	2040	
753	1828	890	759	
684	2138	2139	696	
1363	2124	1390	1949	
128	777	127	556	
908	907	890	1828	
1812	2111	1811	1226	
1363	2124	1458	1390	
2169	1175	2164	1177	
1363	2124	1952	1458	
1363	2124	1949	1952	
1847	115	116	806	
1577	1148	2060	1578	
2193	1437	1392	2192	
1577	1148	1147	2060	
987	988	1006	1898	
1793	2048	1500	1792	
1322	1323	1401	2030	
1091	1284	352	1285	
1448	2178	1412	1403	
2134	793	1864	1862	
1577	1148	393	1147	
2111	2185	1813	2115	
1577	1148	1578	393	
1270	1041	1040	317	
1101	1533	2015	1102	
1586	2064	1585	1668	
1628	1709	1965	2163	
1358	2152	1357	1430	
1651	2236	1728	2069	
1943	1653	1654	1570	
1651	2236	1729	1728	
1821	485	486	522	
2155	2025	1328	1331	
1906	861	2139	864	
1651	2236	2148	1729	
835	563	138	564	
1651	2236	2069	2148	
854	834	835	563	
1270	1041	2013	1040	
2227	2174	2153	1769	
689	670	1901	671	
1380	1936	1389	1935	
2071	297	1019	1544	
2071	297	206	1019	
577	1906	568	682	
1856	815	1857	816	
1358	2152	2000	1357	
2020	376	1119	1257	
473	1505	1797	1798	
2071	297	1544	1555	
2195	2232	2110	2196	
2063	1153	1583	2062	
2191	1394	1439	1393	
1550	2141	1026	2076	
439	440	1989	1588	
1395	1314	1313	2187	
1270	1041	317	1271	
2171	2063	2202	2233	
1550	2141	1551	1026	
332	1108	1120	1926	
1123	1249	1111	2014	
985	1003	1980	986	
179	282	989	296	
1483	1491	1898	1980	
631	639	633	1838	
