35748	4	1	1
251	2709	1269	2736	
7101	4741	7904	6977	
4758	8177	8178	8447	
5428	8440	5088	8432	
8436	4638	6878	8440	
5428	6760	4652	8432	
6530	8176	6545	8177	
4689	4675	6962	6826	
6825	6992	4695	7008	
579	136	3169	3152	
4534	6689	6715	6688	
8424	6579	7018	8116	
8017	8023	8029	7324	
6579	6783	6920	8424	
6312	880	934	6290	
688	830	763	6261	
6937	6935	6931	5276	
7430	7286	7287	7235	
5271	2442	5273	2379	
1669	1724	1539	6580	
8457	5139	8034	6145	
4679	8423	8424	8096	
7006	4695	6824	6961	
6825	4695	6824	7006	
6988	6828	6989	4702	
7802	6741	8075	7829	
6494	5523	1273	1441	
8009	8288	5817	8015	
2480	5359	2535	5323	
6501	1459	1458	5250	
2280	5278	8125	2325	
1026	960	6332	1114	
6567	6574	6584	6751	
6905	6899	6900	6968	
6344	6307	967	6306	
709	6311	6154	8400	
8125	2200	2209	5247	
2280	5278	2325	2353	
1439	1271	5523	1440	
5250	2131	2034	5247	
3509	3508	3618	5154	
6964	4689	6994	6959	
482	6142	6140	3560	
3078	5588	3090	3080	
6335	850	8172	6306	
5697	6522	5182	6521	
5969	6273	4909	8413	
6636	4622	4620	6661	
4909	6273	5969	6358	
7232	6273	5969	8413	
5835	4390	4393	4415	
7232	6273	4877	5969	
8261	8265	8262	8323	
6761	6890	6878	8440	
5856	7835	7834	5858	
2572	5439	2614	2573	
8413	6272	8412	4892	
425	4448	3390	6033	
6890	8139	6878	8440	
6307	766	5520	5514	
6272	799	4892	6273	
6226	638	8406	800	
7928	4746	7929	5383	
3974	6032	8070	5994	
6405	1356	4924	1184	
5596	369	5150	2950	
8437	4658	8436	6878	
5413	5421	7935	5418	
6223	6224	7282	8406	
6754	6755	4650	6889	
6221	7282	8413	7286	
3223	5619	3252	3264	
6759	4609	6756	6753	
8443	8442	7125	4734	
6999	6384	6433	4692	
3383	3498	5226	3497	
6785	6782	7020	6926	
8200	7708	7707	6604	
3757	3847	6111	3756	
6975	6974	7061	7062	
7063	8444	8443	7062	
2244	2123	5234	5240	
2736	5528	1269	1270	
7095	7062	8443	8442	
7964	3845	6110	3934	
8443	7062	7095	7063	
4734	7095	8443	8442	
1263	1264	5130	1460	
8123	7866	5297	8126	
4814	6399	7230	7199	
7938	6820	6310	4711	
8448	4747	8444	8447	
8201	8248	5751	5764	
2164	2076	5251	5250	
1854	2024	2067	5090	
7009	6924	6961	6776	
6828	6982	4702	8153	
7707	7495	7502	7709	
6051	4369	6044	6050	
4042	4040	5748	3964	
2047	171	513	172	
769	8174	5503	6308	
6680	5558	5553	7110	
7228	4808	7229	7226	
4758	4747	8448	8447	
3847	6115	6111	3935	
4639	6934	6931	8119	
966	8400	964	8402	
2597	8115	5323	5322	
6155	649	6150	5155	
4747	6441	8448	6442	
6089	8392	6065	8057	
8406	7368	6226	6223	
8391	6067	8083	8392	
3433	6148	3432	3552	
4747	6441	6442	6443	
1326	1491	1327	6447	
425	4448	424	3390	
7371	6227	7372	7370	
8392	8083	7962	8395	
7526	8357	7290	7524	
1640	1507	1639	6461	
2525	5108	5418	2468	
7282	4836	7290	7289	
7521	8412	8413	4909	
834	979	862	6313	
7962	8392	6091	8391	
7146	8186	8185	8187	
910	6279	6253	6300	
4184	4191	5763	5794	
8031	8032	8025	8029	
6149	3433	3434	3553	
7962	8083	8392	8391	
7521	8412	4909	7291	
6091	8392	7962	6090	
5204	7531	4879	8019	
5895	5892	7529	7532	
5540	8186	7910	5555	
5204	8021	8383	8019	
7959	6148	7957	7958	
3325	3356	7332	3324	
4879	4881	8021	8018	
3124	389	5983	5206	
8460	5210	7423	8455	
3630	6046	8022	6022	
4865	5196	8386	7394	
6645	6649	1949	6646	
5200	5974	7394	8022	
2242	5475	2159	2206	
2404	5375	5391	5390	
6090	3721	6091	3720	
8390	6062	4185	8380	
1251	6492	1421	5618	
8380	8352	5957	8354	
6449	1332	1331	6393	
7421	5140	7954	8456	
5140	8457	8456	5172	
5185	8007	5778	7445	
8460	5210	8455	7421	
5442	7935	5332	7933	
6043	6018	5892	8390	
2539	2553	5358	2593	
3592	5688	3631	5689	
4185	4192	4160	8390	
6348	835	1061	8171	
5209	5213	8366	8046	
7529	7432	7233	4910	
6012	8350	8316	8451	
5035	7735	7818	5039	
5489	5486	5488	6863	
7517	8461	7513	7969	
5978	8462	8461	7513	
1340	1167	1339	6398	
6951	8143	5355	6909	
7517	7466	7969	7972	
5659	5657	3645	5705	
5786	5784	3601	5760	
6006	8350	8451	7611	
1997	331	7930	1998	
6614	5455	1897	6613	
8350	7611	8316	8451	
6035	8336	7969	8335	
2448	5468	5470	5482	
4611	6430	4647	6380	
3585	3533	3596	6139	
3665	6143	6141	3761	
5961	5892	8390	6043	
7555	5897	4927	8322	
3406	5201	5910	5928	
8371	4964	7654	8370	
3779	5842	5841	3786	
5015	996	807	5002	
6193	7587	4934	7583	
3680	5778	3576	3517	
7748	7807	8467	5022	
3575	6164	6137	3679	
4964	5922	7651	8371	
564	105	3432	104	
4470	3378	3379	5783	
8404	6112	6111	7963	
7266	7280	5642	4822	
7748	7807	5022	7585	
6307	695	844	5520	
8193	5983	5208	7303	
2335	2404	2336	5390	
8099	5276	6937	6940	
5920	5790	8372	8371	
2982	239	1256	238	
7427	1177	65	4888	
903	6255	864	701	
5866	5919	8306	7734	
3372	4467	5670	3373	
4987	1037	8469	6266	
5130	2957	2976	5129	
5853	3606	5850	5852	
7310	4923	7608	7309	
2480	5324	5323	2429	
3895	5994	8377	6032	
7651	8370	8371	7656	
7493	4981	7703	6477	
8456	8028	6099	8048	
2336	5349	5392	2259	
4912	7528	7385	7242	
1423	359	1253	5146	
5670	4517	4466	5654	
943	6333	1030	1099	
2336	5349	2259	2335	
5359	2535	2579	2533	
5817	8288	8009	5191	
607	473	560	6173	
5213	7385	7528	7242	
964	6346	8402	5155	
5817	8289	8009	8012	
7986	7984	7978	8365	
3432	3551	3552	6148	
6370	1100	1102	1113	
5352	6951	5355	5358	
6823	7042	4713	6822	
2137	5510	2218	2138	
3403	5778	3459	5192	
6630	6627	6667	6638	
5274	7862	5077	5364	
1013	1017	6325	6374	
2245	5504	5506	5519	
5490	2297	2370	2369	
7986	7984	8365	4911	
5490	2434	2435	2496	
6870	6875	4641	6885	
6311	611	6149	7957	
5518	2049	5516	2148	
8009	8289	5817	5191	
7232	7286	8413	7233	
5862	7646	8337	7467	
5204	5895	6021	8386	
2371	5490	2370	2435	
4579	6736	4578	4564	
1648	1516	1515	7567	
8207	5731	5671	8208	
6000	6027	8300	6004	
2512	5324	2445	5359	
5170	6082	6146	5171	
4059	4015	4014	6122	
5573	2782	2822	5574	
8067	7835	8292	5821	
7968	7513	5157	7519	
8309	7614	5945	8339	
1252	5146	3139	5618	
8123	5295	2380	8122	
2366	8123	2380	8122	
3421	1224	1223	208	
7910	5550	5555	5549	
512	170	2045	169	
7468	8320	7474	8381	
2674	5464	2653	2675	
5171	7421	8028	8456	
1128	4642	1129	6171	
8123	5295	8122	8126	
2320	5265	2391	5258	
8171	6348	6329	1061	
5313	5059	7844	8129	
2320	5265	5258	5259	
7948	3011	5613	2962	
8123	2366	2309	7841	
7948	2962	5613	5138	
7401	7343	7345	7344	
4560	6703	4539	6694	
2319	5258	2320	2391	
6001	7732	8070	8069	
6169	520	604	6168	
3633	3578	3682	5660	
7469	7527	8362	8359	
2319	5257	5258	2391	
3471	399	400	6145	
5341	2333	2334	2402	
7500	7504	7499	4952	
4765	8186	8185	7146	
6343	5231	6109	8398	
2403	5341	2334	2402	
5510	5486	5511	7845	
5374	5341	2403	2402	
5821	5858	7835	8292	
7835	5858	5821	5853	
5895	4916	7395	7388	
4718	6986	6995	8160	
8176	6529	6545	8178	
4296	6078	4295	6053	
8355	8352	6053	8353	
3034	5610	3065	3046	
2024	2068	2120	5090	
4795	5592	4799	5148	
7843	5252	6605	8127	
2412	5462	2475	2413	
6115	3936	3935	3847	
6495	314	1274	5093	
2118	5474	2197	2158	
5462	5478	2475	2413	
256	2027	1275	1276	
6606	2055	1836	2013	
856	6308	6316	946	
8149	5370	4645	5373	
3144	7201	3215	3161	
7848	2436	5492	2437	
8353	4295	6076	6078	
6854	7104	7105	4727	
7101	4741	6977	7094	
256	314	1275	2027	
5452	2289	2273	5453	
2492	5451	5450	2432	
5468	5451	2424	5470	
7097	4732	6855	6857	
1519	1651	6552	1518	
2492	5451	2432	2424	
3941	6124	4006	4007	
3848	6113	3849	3758	
2164	5251	2202	5250	
1364	6410	1363	6474	
6579	4677	4696	7003	
5490	2370	2435	2369	
2434	5490	2435	2369	
7618	7669	7582	7621	
4168	5965	5913	5896	
6161	3566	6162	3670	
6494	2711	2757	2691	
5856	5848	8292	5858	
8331	8295	8388	8299	
3895	5994	6032	3975	
7843	5252	8127	7841	
4116	6039	4052	8388	
6340	1057	1015	6331	
8450	6438	6568	4749	
2446	5271	2418	5280	
5535	8181	7117	4771	
2736	1271	252	2710	
4756	6970	6969	6177	
6053	8352	8355	5957	
3434	3433	6149	565	
2457	8092	2455	5265	
2476	5478	2414	2413	
2457	8092	5265	5285	
4052	5994	8388	6063	
3116	5195	382	381	
5310	2557	5309	5323	
8357	8352	8356	8354	
4093	5839	4131	4072	
