22368	3
6.12323e-17	-1.49976e-32	-1
6.12323e-17	-1.49976e-32	1
0.0498459	-1.22087e-17	-0.998757
0.0995678	-2.43871e-17	-0.995031
0.149042	-3.65048e-17	-0.988831
0.198146	-4.85318e-17	-0.980172
0.246757	-6.04381e-17	-0.969077
0.294755	-7.21942e-17	-0.955573
0.34202	-8.37708e-17	-0.939693
0.388435	-9.51391e-17	-0.921476
0.433884	-1.06271e-16	-0.900969
0.478254	-1.17138e-16	-0.878222
0.521435	-1.27715e-16	-0.853291
0.56332	-1.37974e-16	-0.826239
0.603804	-1.47889e-16	-0.797133
0.642788	-1.57438e-16	-0.766044
0.680173	-1.66594e-16	-0.733052
0.715867	-1.75337e-16	-0.698237
0.749781	-1.83643e-16	-0.661686
0.781831	-1.91493e-16	-0.62349
0.811938	-1.98867e-16	-0.583744
0.840026	-2.05747e-16	-0.542546
0.866025	-2.12115e-16	-0.5
0.889872	-2.17956e-16	-0.456211
0.911506	-2.23255e-16	-0.411287
0.930874	-2.27998e-16	-0.365341
0.947927	-2.32175e-16	-0.318487
0.962624	-2.35775e-16	-0.27084
0.974928	-2.38788e-16	-0.222521
0.984808	-2.41208e-16	-0.173648
0.992239	-2.43029e-16	-0.124344
0.997204	-2.44244e-16	-0.0747301
0.999689	-2.44853e-16	-0.0249307
0.999689	-2.44853e-16	0.0249307
0.997204	-2.44244e-16	0.0747301
0.992239	-2.43029e-16	0.124344
0.984808	-2.41208e-16	0.173648
0.974928	-2.38788e-16	0.222521
0.962624	-2.35775e-16	0.27084
0.947927	-2.32175e-16	0.318487
0.930874	-2.27998e-16	0.365341
0.911506	-2.23255e-16	0.411287
0.889872	-2.17956e-16	0.456211
0.866025	-2.12115e-16	0.5
0.840026	-2.05747e-16	0.542546
0.811938	-1.98867e-16	0.583744
0.781831	-1.91493e-16	0.62349
0.749781	-1.83643e-16	0.661686
0.715867	-1.75337e-16	0.698237
0.680173	-1.66594e-16	0.733052
0.642788	-1.57438e-16	0.766044
0.603804	-1.47889e-16	0.797133
0.56332	-1.37974e-16	0.826239
0.521435	-1.27715e-16	0.853291
0.478254	-1.17138e-16	0.878222
0.433884	-1.06271e-16	0.900969
0.388435	-9.51391e-17	0.921476
0.34202	-8.37708e-17	0.939693
0.294755	-7.21942e-17	0.955573
0.246757	-6.04381e-17	0.969077
0.198146	-4.85318e-17	0.980172
0.149042	-3.65048e-17	0.988831
0.0995678	-2.43871e-17	0.995031
0.0498459	-1.22087e-17	0.998757
0.0243558	-0.0435001	-0.998756
0.123948	-0.0435865	-0.991331
0.222117	-0.0435971	-0.974045
0.318049	-0.0435911	-0.947072
0.410803	-0.0435838	-0.910682
0.499459	-0.0435776	-0.865241
0.583143	-0.0435722	-0.8112
0.661025	-0.0435613	-0.749098
0.732331	-0.043557	-0.679555
0.796351	-0.0435562	-0.603264
0.852456	-0.0435562	-0.520981
0.900094	-0.0435515	-0.433514
0.938788	-0.043549	-0.341732
0.968152	-0.0435445	-0.246548
0.987891	-0.0435423	-0.148916
0.997809	-0.0435367	-0.0498094
0.997811	-0.0435275	0.04979
0.987895	-0.0435202	0.148893
0.968161	-0.0435153	0.246518
0.938805	-0.0435138	0.34169
0.900119	-0.0435113	0.433465
0.852488	-0.0435093	0.520933
0.796385	-0.0435096	0.603223
0.732368	-0.043513	0.679517
0.661075	-0.043522	0.749056
0.583218	-0.0435356	0.811148
0.499578	-0.0435472	0.865174
0.411	-0.0435366	0.910595
0.31838	-0.0435046	0.946965
0.222642	-0.0435755	0.973926
0.124625	-0.0440991	0.991223
0.0248893	-0.0464287	0.998611
0.024726	0.0436896	-0.998739
0.0746397	0.0436614	-0.996254
0.124334	0.043662	-0.991279
0.173716	0.0436788	-0.983827
0.222666	0.0437151	-0.973914
0.271076	0.0437567	-0.961563
0.318825	0.0438081	-0.946801
0.365791	0.0438685	-0.929663
0.411854	0.0439362	-0.91019
0.456893	0.0440094	-0.888432
0.500794	0.044086	-0.864443
0.543442	0.0441645	-0.838284
0.584729	0.0442434	-0.810021
0.624551	0.0443214	-0.779726
0.662807	0.0443977	-0.747473
0.6994	0.0444716	-0.713345
0.73424	0.0445428	-0.677428
0.767237	0.044611	-0.639811
0.798309	0.0446762	-0.600588
0.827379	0.0447382	-0.55986
0.854372	0.0447969	-0.517727
0.879222	0.0448524	-0.474296
0.901866	0.0449045	-0.429675
0.922248	0.044953	-0.383977
0.940315	0.0449976	-0.337317
0.956023	0.045038	-0.289812
0.969333	0.0450738	-0.241581
0.980211	0.0451042	-0.192747
0.988631	0.0451288	-0.143431
0.994571	0.0451468	-0.0937596
0.998017	0.0451573	-0.0438567
0.998961	0.0451592	0.00615077
0.997402	0.045151	0.0561359
0.993344	0.0451309	0.105972
0.986801	0.0450973	0.155533
0.977789	0.0450492	0.204693
0.966333	0.0449872	0.253331
0.952463	0.0449138	0.301324
0.936216	0.0448335	0.348553
0.917633	0.0447523	0.394901
0.896762	0.0446764	0.440252
0.873658	0.0446066	0.484491
0.848381	0.0445398	0.52751
0.820986	0.0444835	0.569212
0.791535	0.0444632	0.609505
0.760107	0.044491	0.648273
0.726813	0.0445149	0.685392
0.691758	0.0444294	0.720761
0.655004	0.044203	0.754331
0.616577	0.0439821	0.786065
0.576542	0.0439728	0.815884
0.535037	0.0442215	0.843671
0.4922	0.0445471	0.869342
0.448116	0.0447425	0.892855
0.402909	0.0447687	0.914145
0.356751	0.0446329	0.933133
0.309836	0.0443063	0.949757
0.262329	0.0437391	0.963987
0.214231	0.0430622	0.975833
0.165456	0.0426602	0.985294
0.116117	0.0426764	0.992318
0.0663142	0.0425186	0.996892
0.0157173	0.0410578	0.999033
0.0742876	-0.0435676	-0.996285
0.173256	-0.0435967	-0.983911
0.270421	-0.0435938	-0.961755
0.364884	-0.0435835	-0.930032
0.455704	-0.0435732	-0.889064
