114977	4	1	1
254	125	5906	255	
670	671	6627	6691	
10426	10417	10401	10424	
6785	22358	22360	7083	
10023	10089	10091	20356	
10188	20472	20385	10101	
3053	3208	9823	9816	
7420	4399	7315	7319	
151	6054	6072	6069	
6391	6557	6441	6548	
6489	525	6487	667	
6785	22360	22361	7083	
1253	1413	6597	6684	
1486	10309	1487	10341	
5876	9706	5899	5885	
177	10159	14042	5970	
65	12709	1	3	
8156	8052	5244	8149	
17344	18781	13493	18701	
10096	10092	1400	1334	
3828	8617	8723	3546	
20157	20143	20155	20158	
9073	2466	9177	9171	
3579	3296	7115	3457	
15304	15305	11239	15315	
699	9258	700	558	
29	123	124	5889	
3710	3551	9806	9991	
22348	7323	22349	1825	
18961	20163	9985	20255	
17237	10972	21646	13286	
3710	3423	3551	9991	
15302	13963	21060	11242	
7021	2178	2295	2480	
12964	12359	12435	12969	
5890	9708	20306	13411	
18787	4495	4438	7668	
13964	11169	11198	15933	
17064	16224	17065	17241	
15891	16629	15890	21910	
3423	3361	3551	9991	
16995	6723	6984	16512	
3361	9992	3551	9991	
677	7179	7177	676	
10424	1781	10351	1972	
9902	2681	2929	2833	
1695	1750	8521	1850	
19271	19549	15010	19276	
189	6108	6109	6084	
15911	10997	20994	21009	
19549	19271	19275	19276	
6878	7217	17063	17065	
3939	8108	3872	7988	
12893	11475	12130	12128	
14901	15026	14821	19229	
4376	4540	7450	7445	
10970	13254	13120	13109	
10059	9700	10002	9930	
507	648	6146	503	
17924	4110	4355	4041	
22365	9481	9794	3760	
10165	14224	14223	14027	
21013	11172	16091	11229	
52	8395	53	6053	
10968	13004	13002	20871	
10059	9700	9930	10001	
5723	7386	5767	464	
10058	10130	20375	9879	
10058	10130	10000	15347	
7497	12892	7378	13028	
1463	1322	1389	9265	
6488	5847	5832	13392	
6536	1250	6537	6407	
418	419	8778	556	
13391	6338	5832	13199	
20375	10131	10059	10001	
20375	9879	10131	10001	
7217	7299	7444	17242	
13581	13583	21004	20740	
804	6379	951	952	
2663	2416	6875	2623	
9879	10058	10000	10001	
1390	7555	7560	7556	
5826	13129	12997	13057	
10016	9818	9566	9817	
16063	15674	16389	21861	
10027	20384	9522	10089	
3880	3760	9790	22365	
2354	6874	2447	2623	
8514	8509	8778	8510	
10308	2344	2186	2020	
1057	9944	772	923	
6349	6248	6316	11969	
6018	215	315	5994	
21096	11029	11587	20746	
11587	21019	11029	11582	
13756	20993	20991	21003	
16533	6918	16530	16532	
1882	2105	17066	2178	
17247	17244	17249	17246	
9879	10058	10001	20375	
10317	10318	20418	10237	
9520	9268	9826	19828	
17248	17247	17249	17246	
10251	2032	2027	20514	
10393	6018	492	352	
11045	13579	13580	13581	
7972	7215	17246	7574	
10058	10130	9879	10000	
7080	22360	22358	7083	
1253	1413	6684	1252	
6655	2612	2611	6653	
22365	3760	3780	3880	
6151	12994	12942	11112	
6874	2447	2131	16735	
22350	17532	22347	7552	
13170	9525	19631	20076	
9979	9761	20385	10091	
20353	20277	9890	10011	
19333	8491	8490	8494	
10507	902	743	10477	
9873	9467	10017	10133	
6064	14840	8515	6043	
13104	17040	13106	17236	
21835	15405	12017	17225	
19463	2743	8678	8679	
5995	7710	14276	7705	
10967	10988	11023	11035	
6626	13104	13107	17236	
18773	5804	7848	7953	
10068	20353	20300	10011	
7552	7289	22350	17532	
11040	6763	11020	11003	
805	6372	6492	664	
18808	19226	18805	18809	
6072	418	8776	8514	
6039	7707	5995	6023	
20348	20428	14127	20426	
3462	20353	20300	10068	
10407	10341	10340	1468	
13016	11023	21047	11036	
10574	11518	10577	21268	
21074	21089	21086	20984	
2809	2619	2808	7134	
9483	4254	9727	9728	
21272	10961	5710	10930	
10249	10298	10250	20256	
7181	17238	17662	7087	
21086	20984	12374	21074	
1594	10375	1489	10445	
17532	7191	22347	7552	
9974	9977	9902	20329	
22347	7191	7555	7552	
13005	20984	13008	13001	
20213	9890	20277	10011	
5704	15370	5797	6135	
228	15453	229	5762	
150	279	280	6072	
20870	13010	21088	22303	
8073	3160	3292	3031	
13167	12291	13056	13170	
17253	22034	7453	7456	
2413	2498	2301	10293	
7456	7585	17253	22033	
201	8350	5831	19426	
1585	1746	1747	7050	
3466	3433	7884	3362	
10190	2055	1876	9978	
5989	42	41	5980	
14611	14620	21055	15914	
13167	13056	13169	5809	
11003	6763	11020	11017	
20213	9890	10011	9896	
17144	8155	18753	18998	
20984	13118	13002	21046	
82	176	5952	311	
8954	2936	3226	3030	
18363	7586	7871	18681	
19539	19538	9552	19535	
19889	925	1006	1212	
10095	1625	1540	10020	
1550	15691	6230	1521	
13773	13695	5906	5911	
10961	10960	10962	10930	
21159	11599	11203	21161	
10190	1815	10020	9978	
7647	7368	1830	2100	
10190	1815	9978	1876	
12537	12684	10948	10962	
10020	1754	1620	10018	
13275	13702	13779	5937	
2847	7775	7886	2880	
5804	299	8345	13156	
18858	18835	18836	8008	
20545	14138	10532	10527	
20982	15561	20981	11158	
1815	1753	10020	9978	
6175	1067	6164	6201	
2523	2718	9755	2669	
1540	1452	10092	10020	
16402	6372	16161	6380	
10092	1452	1540	1400	
22359	6853	7083	22358	
17366	8637	17364	19431	
19942	9334	19834	19830	
22359	4623	6615	7078	
19486	8720	9088	19600	
10071	9895	10219	10221	
10960	10945	10962	10930	
8156	4860	4983	8158	
17136	17156	8445	17137	
9318	1127	9414	1237	
13996	13997	11638	21672	
6231	6295	16075	6325	
593	10273	10285	10278	
7456	7585	22033	7459	
5373	5502	7586	5494	
15569	15575	12032	15573	
13506	9337	8581	19119	
22354	17699	22363	22351	
1441	10187	10099	10243	
18903	2546	19015	7900	
19511	4228	8664	8766	
19340	2010	1810	8400	
17136	17156	17627	8445	
1350	9873	1191	1505	
5945	81	35	5931	
683	7424	7429	7425	
9257	9003	9368	9258	
22033	7587	17251	17255	
3389	18813	3379	7612	
1132	986	985	9113	
20336	20473	20369	20334	
19120	8401	18941	18942	
22356	20353	10003	22366	
17913	7050	7041	7290	
15644	21854	15429	12021	
12531	20976	15508	15488	
13655	13653	6009	13664	
8331	8330	8435	8335	
14198	14222	14208	19696	
10093	10166	10096	10102	
11586	20915	21854	15429	
2221	22355	22367	2013	
13167	12291	13170	21563	
13905	20728	20887	20882	
2642	2578	2871	7772	
6752	1742	1581	1743	
18787	7969	7974	7668	
716	744	6154	6175	
22348	7334	7323	22352	
5911	13408	5903	16731	
22354	1627	22351	22363	
8	103	5797	102	
16738	15738	15720	17259	
12689	15488	15477	15484	
6247	15720	12690	15740	
661	6265	16160	6371	
7178	17663	13703	7195	
178	40	5973	39	
15737	16738	15720	15731	
10094	1080	10030	10096	
20529	14266	10351	10462	
13773	6629	13695	6628	
20391	13240	13216	21566	
15383	15597	11352	15669	
10042	10044	3325	20367	
10030	1334	10096	1080	
22348	7334	22352	22363	
10094	1080	1017	10030	
15466	107	5802	5808	
1080	1134	1017	10030	
16785	17125	17257	17023	
16754	18112	17534	17165	
10040	9911	9983	9912	
15632	15645	13369	15643	
774	10100	633	725	
20471	10281	20887	20882	
1052	937	10360	10337	
10040	9681	9911	9982	
2278	2116	6881	2304	
10051	10210	14954	10216	
11586	12023	6145	15424	
18746	8334	18747	16803	
3527	8828	3556	8947	
9696	10206	10210	10051	
10945	20557	10930	10942	
9776	14954	10051	10217	
14154	21690	14158	14155	
7537	17314	7532	7540	
19008	19366	17157	17154	
15538	12033	7268	15546	
9776	10216	10051	14954	
10217	20109	9696	10051	
5741	194	5739	5725	
444	348	590	10110	
22353	2151	10266	10013	
22351	22348	22352	22363	
10313	10145	10308	10147	
22354	1627	22363	1687	
22356	9793	22366	10003	
22368	22354	17699	22363	
6504	15830	15829	21878	
20109	10206	9696	10051	
20526	14736	10415	22287	
22356	9793	10003	4065	
20893	13913	10873	20894	
7584	17927	7306	18364	
14954	10217	9696	10051	
18682	7306	7676	18364	
19687	19685	9108	19791	
5747	6382	6344	15816	
8812	8719	8821	8815	
6408	801	16160	6371	
3344	19648	3505	8952	
312	213	10159	83	
10525	10520	20546	10507	
10003	20353	22356	3641	
16003	16005	20953	20950	
6078	6047	6080	14902	
8490	8393	3866	3946	
12544	20676	12545	20559	
6338	13199	13455	5852	
11216	16004	21160	11275	
20887	10281	20471	20377	
18384	9332	22243	19942	
18612	2388	7781	7664	
