268	3
0	1	0
1	1	0
1	0	0
0	0	0
0.0149254	0	0
0.0298507	0	0
0.0447761	0	0
0.0597015	0	0
0.0746269	0	0
0.0895522	0	0
0.104478	0	0
0.119403	0	0
0.134328	0	0
0.149254	0	0
0.164179	0	0
0.179104	0	0
0.19403	0	0
0.208955	0	0
0.223881	0	0
0.238806	0	0
0.253731	0	0
0.268657	0	0
0.283582	0	0
0.298507	0	0
0.313433	0	0
0.328358	0	0
0.343284	0	0
0.358209	0	0
0.373134	0	0
0.38806	0	0
0.402985	0	0
0.41791	0	0
0.432836	0	0
0.447761	0	0
0.462687	0	0
0.477612	0	0
0.492537	0	0
0.507463	0	0
0.522388	0	0
0.537313	0	0
0.552239	0	0
0.567164	0	0
0.58209	0	0
0.597015	0	0
0.61194	0	0
0.626866	0	0
0.641791	0	0
0.656716	0	0
0.671642	0	0
0.686567	0	0
0.701493	0	0
0.716418	0	0
0.731343	0	0
0.746269	0	0
0.761194	0	0
0.776119	0	0
0.791045	0	0
0.80597	0	0
0.820896	0	0
0.835821	0	0
0.850746	0	0
0.865672	0	0
0.880597	0	0
0.895522	0	0
0.910448	0	0
0.925373	0	0
0.940299	0	0
0.955224	0	0
0.970149	0	0
0.985075	0	0
1	0.0149254	0
1	0.0298507	0
1	0.0447761	0
1	0.0597015	0
1	0.0746269	0
1	0.0895522	0
1	0.104478	0
1	0.119403	0
1	0.134328	0
1	0.149254	0
1	0.164179	0
1	0.179104	0
1	0.19403	0
1	0.208955	0
1	0.223881	0
1	0.238806	0
1	0.253731	0
1	0.268657	0
1	0.283582	0
1	0.298507	0
1	0.313433	0
1	0.328358	0
1	0.343284	0
1	0.358209	0
1	0.373134	0
1	0.38806	0
1	0.402985	0
1	0.41791	0
1	0.432836	0
1	0.447761	0
1	0.462687	0
1	0.477612	0
1	0.492537	0
1	0.507463	0
1	0.522388	0
1	0.537313	0
1	0.552239	0
1	0.567164	0
1	0.58209	0
1	0.597015	0
1	0.61194	0
1	0.626866	0
1	0.641791	0
1	0.656716	0
1	0.671642	0
1	0.686567	0
1	0.701493	0
1	0.716418	0
1	0.731343	0
1	0.746269	0
1	0.761194	0
1	0.776119	0
1	0.791045	0
1	0.80597	0
1	0.820896	0
1	0.835821	0
1	0.850746	0
1	0.865672	0
1	0.880597	0
1	0.895522	0
1	0.910448	0
1	0.925373	0
1	0.940299	0
1	0.955224	0
1	0.970149	0
1	0.985075	0
0.985075	1	0
0.970149	1	0
0.955224	1	0
0.940299	1	0
0.925373	1	0
0.910448	1	0
0.895522	1	0
0.880597	1	0
0.865672	1	0
0.850746	1	0
0.835821	1	0
0.820896	1	0
0.80597	1	0
0.791045	1	0
0.776119	1	0
0.761194	1	0
0.746269	1	0
0.731343	1	0
0.716418	1	0
0.701493	1	0
0.686567	1	0
0.671642	1	0
0.656716	1	0
0.641791	1	0
0.626866	1	0
0.61194	1	0
0.597015	1	0
0.58209	1	0
0.567164	1	0
0.552239	1	0
0.537313	1	0
0.522388	1	0
0.507463	1	0
0.492537	1	0
0.477612	1	0
0.462687	1	0
0.447761	1	0
0.432836	1	0
0.41791	1	0
0.402985	1	0
0.38806	1	0
0.373134	1	0
0.358209	1	0
0.343284	1	0
0.328358	1	0
0.313433	1	0
0.298507	1	0
0.283582	1	0
0.268657	1	0
0.253731	1	0
0.238806	1	0
0.223881	1	0
0.208955	1	0
0.19403	1	0
0.179104	1	0
0.164179	1	0
0.149254	1	0
0.134328	1	0
0.119403	1	0
0.104478	1	0
0.0895522	1	0
0.0746269	1	0
0.0597015	1	0
0.0447761	1	0
0.0298507	1	0
0.0149254	1	0
0	0.985075	0
0	0.970149	0
0	0.955224	0
0	0.940299	0
0	0.925373	0
0	0.910448	0
0	0.895522	0
0	0.880597	0
0	0.865672	0
0	0.850746	0
0	0.835821	0
0	0.820896	0
0	0.80597	0
0	0.791045	0
0	0.776119	0
0	0.761194	0
0	0.746269	0
0	0.731343	0
0	0.716418	0
0	0.701493	0
0	0.686567	0
0	0.671642	0
0	0.656716	0
0	0.641791	0
0	0.626866	0
0	0.61194	0
0	0.597015	0
0	0.58209	0
0	0.567164	0
0	0.552239	0
0	0.537313	0
0	0.522388	0
0	0.507463	0
0	0.492537	0
0	0.477612	0
0	0.462687	0
0	0.447761	0
0	0.432836	0
0	0.41791	0
0	0.402985	0
0	0.38806	0
0	0.373134	0
0	0.358209	0
0	0.343284	0
0	0.328358	0
0	0.313433	0
0	0.298507	0
0	0.283582	0
0	0.268657	0
0	0.253731	0
0	0.238806	0
0	0.223881	0
0	0.208955	0
0	0.19403	0
0	0.179104	0
0	0.164179	0
0	0.149254	0
0	0.134328	0
0	0.119403	0
0	0.104478	0
0	0.0895522	0
0	0.0746269	0
0	0.0597015	0
0	0.0447761	0
0	0.0298507	0
0	0.0149254	0
