62 3
1.00000000000000e+00 1.00000000000000e+00 1.00000000000000e-01
1.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 1.00000000000000e+00 1.00000000000000e-01
0.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
9.50000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
9.00000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
8.50000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
8.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
7.50000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
7.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
6.50000000000004e-01 1.00000000000000e+00 1.00000000000000e-01
6.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
5.50000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
5.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
4.50000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
4.00000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
3.50000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
3.00000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
2.50000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
2.00000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
1.50000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
1.00000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
5.00000000000004e-02 1.00000000000000e+00 1.00000000000000e-01
9.50000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
9.00000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
8.50000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
8.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
7.50000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
7.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
6.50000000000004e-01 1.00000000000000e+00 0.00000000000000e+00
6.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
5.50000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
5.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
4.50000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
4.00000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
3.50000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
3.00000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
2.50000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
2.00000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
1.50000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
1.00000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
5.00000000000004e-02 1.00000000000000e+00 0.00000000000000e+00
1.00000000000000e+00 1.00000000000000e+00 4.99999999999996e-02
0.00000000000000e+00 1.00000000000000e+00 4.99999999999996e-02
9.29698878495735e-01 1.00000000000000e+00 4.99999993845772e-02
8.25339046834069e-01 1.00000000000000e+00 4.99999971072813e-02
7.25026303611514e-01 1.00000000000000e+00 4.99999850060713e-02
6.25001863108614e-01 1.00000000000000e+00 4.99999890507307e-02
5.24999984757849e-01 1.00000000000000e+00 4.99999583935491e-02
4.24999425627852e-01 1.00000000000000e+00 4.99999933923579e-02
3.24992482604312e-01 1.00000000000000e+00 4.99999933170592e-02
2.24905088283512e-01 1.00000000000000e+00 4.99999780427867e-02
1.23773976272636e-01 1.00000000000000e+00 4.99999932126394e-02
7.03011239787806e-02 1.00000000000000e+00 4.99999991897944e-02
2.74973297211306e-01 1.00000000000000e+00 4.99999883308217e-02
3.74997944619924e-01 1.00000000000000e+00 4.99999848111561e-02
4.74999860941261e-01 1.00000000000000e+00 4.99999861836804e-02
8.76226032629568e-01 1.00000000000000e+00 4.99999947928634e-02
5.75000335043076e-01 1.00000000000000e+00 4.99999738492470e-02
7.75094925984791e-01 1.00000000000000e+00 4.99999937912014e-02
6.75006789687059e-01 1.00000000000000e+00 4.99999823596411e-02
1.74660959134433e-01 1.00000000000000e+00 4.99999942408710e-02
