8472	3
0	0	0
0	-0.5	6.12323e-17
0	0.5	0
1	-0.5	6.12323e-17
1	0.5	0
1.5	-0.25	3.06162e-17
1.5	0.25	0
2	-0.25	3.06162e-17
2	0.25	0
2.5	-0.5	6.12323e-17
2.5	0.5	0
4	0	0
4	-0.5	6.12323e-17
4	0.5	0
0.05	0	0
0.1	0	0
0.15	0	0
0.2	0	0
0.25	0	0
0.3	0	0
0.35	0	0
0.4	0	0
0.45	0	0
0.5	0	0
0.55	0	0
0.6	0	0
0.65	0	0
0.7	0	0
0.75	0	0
0.8	0	0
0.85	0	0
0.9	0	0
0.95	0	0
1	0	0
1.05	0	0
1.1	0	0
1.15	0	0
1.2	0	0
1.25	0	0
1.3	0	0
1.35	0	0
1.4	0	0
1.45	0	0
1.5	0	0
1.55	0	0
1.6	0	0
1.65	0	0
1.7	0	0
1.75	0	0
1.8	0	0
1.85	0	0
1.9	0	0
1.95	0	0
2	0	0
2.05	0	0
2.1	0	0
2.15	0	0
2.2	0	0
2.25	0	0
2.3	0	0
2.35	0	0
2.4	0	0
2.45	0	0
2.5	0	0
2.55	0	0
2.6	0	0
2.65	0	0
2.7	0	0
2.75	0	0
2.8	0	0
2.85	0	0
2.9	0	0
2.95	0	0
3	0	0
3.05	0	0
3.1	0	0
3.15	0	0
3.2	0	0
3.25	0	0
3.3	0	0
3.35	0	0
3.4	0	0
3.45	0	0
3.5	0	0
3.55	0	0
3.6	0	0
3.65	0	0
3.7	0	0
3.75	0	0
3.8	0	0
3.85	0	0
3.9	0	0
3.95	0	0
4	-0.05	6.12323e-18
4	-0.1	1.22465e-17
4	-0.15	1.83697e-17
4	-0.2	2.44929e-17
4	-0.25	3.06162e-17
4	-0.3	3.67394e-17
4	-0.35	4.28626e-17
4	-0.4	4.89859e-17
4	-0.45	5.51091e-17
3.95	-0.5	6.12323e-17
3.9	-0.5	6.12323e-17
3.85	-0.5	6.12323e-17
3.8	-0.5	6.12323e-17
3.75	-0.5	6.12323e-17
3.7	-0.5	6.12323e-17
3.65	-0.5	6.12323e-17
3.6	-0.5	6.12323e-17
3.55	-0.5	6.12323e-17
3.5	-0.5	6.12323e-17
3.45	-0.5	6.12323e-17
3.4	-0.5	6.12323e-17
3.35	-0.5	6.12323e-17
3.3	-0.5	6.12323e-17
3.25	-0.5	6.12323e-17
3.2	-0.5	6.12323e-17
3.15	-0.5	6.12323e-17
3.1	-0.5	6.12323e-17
3.05	-0.5	6.12323e-17
3	-0.5	6.12323e-17
2.95	-0.5	6.12323e-17
2.9	-0.5	6.12323e-17
2.85	-0.5	6.12323e-17
2.8	-0.5	6.12323e-17
2.75	-0.5	6.12323e-17
2.7	-0.5	6.12323e-17
