1071	3
0	0	0
1	0	0
1	1	0
0.666	1	0
0.666	1.25	0
1.5	2	0
1.5	2.25	0
0	1	0
0.333	1	0
0.333	1.25	0
1.15	2	0
1.15	2.25	0
0.75	2.5	0
0.75	3.25	0
2	3.25	0
2	2.5	0
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	0
0.05	0	0
0.06	0	0
0.07	0	0
0.08	0	0
0.09	0	0
0.1	0	0
0.11	0	0
0.12	0	0
0.13	0	0
0.14	0	0
0.15	0	0
0.16	0	0
0.17	0	0
0.18	0	0
0.19	0	0
0.2	0	0
0.21	0	0
0.22	0	0
0.23	0	0
0.24	0	0
0.25	0	0
0.26	0	0
0.27	0	0
0.28	0	0
0.29	0	0
0.3	0	0
0.31	0	0
0.32	0	0
0.33	0	0
0.34	0	0
0.35	0	0
0.36	0	0
0.37	0	0
0.38	0	0
0.39	0	0
0.4	0	0
0.41	0	0
0.42	0	0
0.43	0	0
0.44	0	0
0.45	0	0
0.46	0	0
0.47	0	0
0.48	0	0
0.49	0	0
0.5	0	0
0.51	0	0
0.52	0	0
0.53	0	0
0.54	0	0
0.55	0	0
0.56	0	0
0.57	0	0
0.58	0	0
0.59	0	0
0.6	0	0
0.61	0	0
0.62	0	0
0.63	0	0
0.64	0	0
0.65	0	0
0.66	0	0
0.67	0	0
0.68	0	0
0.69	0	0
0.7	0	0
0.71	0	0
0.72	0	0
0.73	0	0
0.74	0	0
0.75	0	0
0.76	0	0
0.77	0	0
0.78	0	0
0.79	0	0
0.8	0	0
0.81	0	0
0.82	0	0
0.83	0	0
0.84	0	0
0.85	0	0
0.86	0	0
0.87	0	0
0.88	0	0
0.89	0	0
0.9	0	0
0.91	0	0
0.92	0	0
0.93	0	0
0.94	0	0
0.95	0	0
0.96	0	0
0.97	0	0
0.98	0	0
0.99	0	0
1	0.01	0
1	0.02	0
1	0.03	0
1	0.04	0
1	0.05	0
1	0.06	0
1	0.07	0
1	0.08	0
1	0.09	0
1	0.1	0
1	0.11	0
1	0.12	0
1	0.13	0
1	0.14	0
1	0.15	0
1	0.16	0
1	0.17	0
1	0.18	0
1	0.19	0
1	0.2	0
1	0.21	0
1	0.22	0
1	0.23	0
1	0.24	0
1	0.25	0
1	0.26	0
1	0.27	0
1	0.28	0
1	0.29	0
1	0.3	0
1	0.31	0
1	0.32	0
1	0.33	0
1	0.34	0
1	0.35	0
1	0.36	0
1	0.37	0
1	0.38	0
1	0.39	0
1	0.4	0
1	0.41	0
1	0.42	0
1	0.43	0
1	0.44	0
1	0.45	0
1	0.46	0
1	0.47	0
1	0.48	0
1	0.49	0
1	0.5	0
1	0.51	0
1	0.52	0
1	0.53	0
1	0.54	0
1	0.55	0
1	0.56	0
1	0.57	0
1	0.58	0
1	0.59	0
1	0.6	0
1	0.61	0
1	0.62	0
1	0.63	0
1	0.64	0
1	0.65	0
1	0.66	0
1	0.67	0
1	0.68	0
1	0.69	0
1	0.7	0
1	0.71	0
1	0.72	0
1	0.73	0
1	0.74	0
1	0.75	0
1	0.76	0
1	0.77	0
1	0.78	0
1	0.79	0
1	0.8	0
1	0.81	0
1	0.82	0
1	0.83	0
1	0.84	0
1	0.85	0
1	0.86	0
1	0.87	0
1	0.88	0
1	0.89	0
1	0.9	0
1	0.91	0
1	0.92	0
1	0.93	0
1	0.94	0
1	0.95	0
1	0.96	0
1	0.97	0
1	0.98	0
1	0.99	0
0.990176	1	0
0.980353	1	0
0.970529	1	0
0.960706	1	0
0.950882	1	0
0.941059	1	0
0.931235	1	0
0.921412	1	0
0.911588	1	0
0.901765	1	0
0.891941	1	0
0.882118	1	0
0.872294	1	0
0.862471	1	0
0.852647	1	0
0.842824	1	0
0.833	1	0
0.823176	1	0
0.813353	1	0
0.803529	1	0
0.793706	1	0
0.783882	1	0
0.774059	1	0
0.764235	1	0
0.754412	1	0
0.744588	1	0
0.734765	1	0
0.724941	1	0
0.715118	1	0
0.705294	1	0
0.695471	1	0
0.685647	1	0
0.675824	1	0
0.666	1.01	0
0.666	1.02	0
0.666	1.03	0
0.666	1.04	0
0.666	1.05	0
0.666	1.06	0
0.666	1.07	0
0.666	1.08	0
0.666	1.09	0
0.666	1.1	0
0.666	1.11	0
0.666	1.12	0
0.666	1.13	0
0.666	1.14	0
0.666	1.15	0
0.666	1.16	0
0.666	1.17	0
0.666	1.18	0
0.666	1.19	0
0.666	1.2	0
0.666	1.21	0
0.666	1.22	0
0.666	1.23	0
0.666	1.24	0
0.673381	1.25664	0
0.680761	1.26327	0
0.688142	1.26991	0
0.695522	1.27655	0
0.702903	1.28319	0
0.710283	1.28982	0
0.717664	1.29646	0
0.725044	1.3031	0
0.732425	1.30973	0
0.739805	1.31637	0
0.747186	1.32301	0
0.754566	1.32965	0
0.761947	1.33628	0
0.769327	1.34292	0
0.776708	1.34956	0
0.784088	1.35619	0
0.791469	1.36283	0
0.79885	1.36947	0
0.80623	1.37611	0
0.813611	1.38274	0
0.820991	1.38938	0
0.828372	1.39602	0
0.835752	1.40265	0
0.843133	1.40929	0
0.850513	1.41593	0
0.857894	1.42257	0
0.865274	1.4292	0
0.872655	1.43584	0
0.880035	1.44248	0
0.887416	1.44912	0
0.894796	1.45575	0
0.902177	1.46239	0
0.909558	1.46903	0
0.916938	1.47566	0
0.924319	1.4823	0
0.931699	1.48894	0
0.93908	1.49558	0
0.94646	1.50221	0
0.953841	1.50885	0
0.961221	1.51549	0
0.968602	1.52212	0
0.975982	1.52876	0
0.983363	1.5354	0
0.990743	1.54204	0
0.998124	1.54867	0
1.0055	1.55531	0
1.01288	1.56195	0
1.02027	1.56858	0
1.02765	1.57522	0
1.03503	1.58186	0
1.04241	1.5885	0
1.04979	1.59513	0
1.05717	1.60177	0
1.06455	1.60841	0
1.07193	1.61504	0
1.07931	1.62168	0
1.08669	1.62832	0
1.09407	1.63496	0
1.10145	1.64159	0
1.10883	1.64823	0
1.11621	1.65487	0
1.12359	1.6615	0
1.13097	1.66814	0
1.13835	1.67478	0
1.14573	1.68142	0
1.15312	1.68805	0
1.1605	1.69469	0
1.16788	1.70133	0
1.17526	1.70796	0
1.18264	1.7146	0
1.19002	1.72124	0
1.1974	1.72788	0
1.20478	1.73451	0
1.21216	1.74115	0
1.21954	1.74779	0
1.22692	1.75442	0
1.2343	1.76106	0
1.24168	1.7677	0
1.24906	1.77434	0
1.25644	1.78097	0
1.26382	1.78761	0
1.2712	1.79425	0
1.27858	1.80088	0
1.28596	1.80752	0
1.29335	1.81416	0
1.30073	1.8208	0
1.30811	1.82743	0
1.31549	1.83407	0
1.32287	1.84071	0
1.33025	1.84735	0
1.33763	1.85398	0
1.34501	1.86062	0
1.35239	1.86726	0
1.35977	1.87389	0
1.36715	1.88053	0
1.37453	1.88717	0
1.38191	1.89381	0
1.38929	1.90044	0
