917	3
0.75	0.5	0.1
0.75	0.5	0
1	1	0.1
1	1	0
0	1	0.1
0	1	0
1	0	0.1
1	0	0
0	0	0.1
0	0	0
0.05	0	0.1
0.1	0	0.1
0.15	0	0.1
0.2	0	0.1
0.25	0	0.1
0.3	0	0.1
0.35	0	0.1
0.4	0	0.1
0.45	0	0.1
0.5	0	0.1
0.55	0	0.1
0.6	0	0.1
0.65	0	0.1
0.7	0	0.1
0.75	0	0.1
0.8	0	0.1
0.85	0	0.1
0.9	0	0.1
0.95	0	0.1
0	0.95	0.1
0	0.9	0.1
0	0.85	0.1
0	0.8	0.1
0	0.75	0.1
0	0.7	0.1
0	0.65	0.1
0	0.6	0.1
0	0.55	0.1
0	0.5	0.1
0	0.45	0.1
0	0.4	0.1
0	0.35	0.1
0	0.3	0.1
0	0.25	0.1
0	0.2	0.1
0	0.15	0.1
0	0.1	0.1
0	0.05	0.1
1	0.05	0.1
1	0.1	0.1
1	0.15	0.1
1	0.2	0.1
1	0.25	0.1
1	0.3	0.1
1	0.35	0.1
1	0.4	0.1
1	0.45	0.1
1	0.5	0.1
1	0.55	0.1
1	0.6	0.1
1	0.65	0.1
1	0.7	0.1
1	0.75	0.1
1	0.8	0.1
1	0.85	0.1
1	0.9	0.1
1	0.95	0.1
0.95	1	0.1
0.9	1	0.1
0.85	1	0.1
0.8	1	0.1
0.75	1	0.1
0.7	1	0.1
0.65	1	0.1
0.6	1	0.1
0.55	1	0.1
0.5	1	0.1
0.45	1	0.1
0.4	1	0.1
0.35	1	0.1
0.3	1	0.1
0.25	1	0.1
0.2	1	0.1
0.15	1	0.1
0.1	1	0.1
0.05	1	0.1
0.744882	0.550325	0.1
0.729739	0.598589	0.1
0.705191	0.642817	0.1
0.672242	0.681198	0.1
0.632241	0.712161	0.1
0.586826	0.734438	0.1
0.537857	0.747117	0.1
0.487338	0.749679	0.1
0.437337	0.742019	0.1
0.389901	0.724451	0.1
0.346974	0.697694	0.1
0.31031	0.662843	0.1
0.281413	0.621325	0.1
0.261465	0.574841	0.1
0.251283	0.525292	0.1
0.251283	0.474708	0.1
0.261465	0.425159	0.1
0.281413	0.378675	0.1
0.31031	0.337157	0.1
0.346974	0.302306	0.1
0.389901	0.275549	0.1
0.437337	0.257981	0.1
0.487338	0.250321	0.1
0.537857	0.252883	0.1
0.586826	0.265562	0.1
0.632241	0.287839	0.1
0.672242	0.318802	0.1
0.705191	0.357183	0.1
0.729739	0.401411	0.1
0.744882	0.449675	0.1
0.05	0	0
0.1	0	0
0.15	0	0
0.2	0	0
0.25	0	0
0.3	0	0
0.35	0	0
0.4	0	0
0.45	0	0
0.5	0	0
0.55	0	0
0.6	0	0
0.65	0	0
0.7	0	0
0.75	0	0
0.8	0	0
0.85	0	0
0.9	0	0
0.95	0	0
0	0.95	0
0	0.9	0
0	0.85	0
0	0.8	0
0	0.75	0
0	0.7	0
0	0.65	0
0	0.6	0
0	0.55	0
0	0.5	0
0	0.45	0
0	0.4	0
0	0.35	0
0	0.3	0
0	0.25	0
0	0.2	0
0	0.15	0
0	0.1	0
0	0.05	0
1	0.05	0
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0
1	0.3	0
1	0.35	0
1	0.4	0
1	0.45	0
1	0.5	0
1	0.55	0
1	0.6	0
1	0.65	0
1	0.7	0
1	0.75	0
1	0.8	0
1	0.85	0
1	0.9	0
1	0.95	0
0.95	1	0
0.9	1	0
0.85	1	0
0.8	1	0
0.75	1	0
0.7	1	0
0.65	1	0
0.6	1	0
0.55	1	0
0.5	1	0
0.45	1	0
0.4	1	0
0.35	1	0
0.3	1	0
0.25	1	0
0.2	1	0
0.15	1	0
0.1	1	0
0.05	1	0
0.744882	0.550325	0
0.729739	0.598589	0
0.705191	0.642817	0
0.672242	0.681198	0
0.632241	0.712161	0
0.586826	0.734438	0
0.537857	0.747117	0
0.487338	0.749679	0
0.437337	0.742019	0
0.389901	0.724451	0
0.346974	0.697694	0
0.31031	0.662843	0
0.281413	0.621325	0
0.261465	0.574841	0
0.251283	0.525292	0
0.251283	0.474708	0
0.261465	0.425159	0
0.281413	0.378675	0
0.31031	0.337157	0
0.346974	0.302306	0
0.389901	0.275549	0
0.437337	0.257981	0
0.487338	0.250321	0
0.537857	0.252883	0
0.586826	0.265562	0
0.632241	0.287839	0
0.672242	0.318802	0
0.705191	0.357183	0
0.729739	0.401411	0
0.744882	0.449675	0
0.75	0.5	0.05
1	1	0.05
0	1	0.05
1	0	0.05
0	0	0.05
0.0691888	0.0440225	0.1
0.174571	0.0431022	0.1
0.275781	0.043684	0.1
0.375768	0.0447962	0.1
0.475988	0.0419802	0.1
0.576525	0.04391	0.1
0.676652	0.0439843	0.1
0.775312	0.0417337	0.1
0.87366	0.0439213	0.1
0.0410079	0.930044	0.1
0.0427589	0.827036	0.1
0.0451098	0.727257	0.1
0.044372	0.625896	0.1
0.0422783	0.524933	0.1
0.041854	0.424803	0.1
0.0430597	0.325322	0.1
0.0434047	0.226077	0.1
0.0447101	0.126881	0.1
0.955952	0.0692641	0.1
0.955746	0.175086	0.1
0.957143	0.275405	0.1
0.956999	0.374698	0.1
0.957616	0.474598	0.1
0.956769	0.575003	0.1
0.952302	0.675667	0.1
0.955344	0.775543	0.1
0.953398	0.874065	0.1
0.930465	0.956647	0.1
0.826815	0.957895	0.1
0.72673	0.957411	0.1
0.626243	0.957166	0.1
0.526206	0.957563	0.1
0.425219	0.956446	0.1
0.32439	0.953384	0.1
0.224792	0.955416	0.1
0.129969	0.960067	0.1
0.0832163	0.953576	0.1
0.78854	0.528994	0.1
0.77805	0.58644	0.1
0.755081	0.640033	0.1
0.721586	0.686987	0.1
0.678952	0.727187	0.1
0.629185	0.760468	0.1
0.573326	0.78116	0.1
0.513808	0.789459	0.1
0.455099	0.786842	0.1
0.397292	0.772861	0.1
0.344964	0.746521	0.1
0.3002	0.708423	0.1
0.263984	0.664673	0.1
0.234835	0.615071	0.1
0.216781	0.560625	0.1
0.210002	0.502097	0.1
0.214319	0.442951	0.1
0.232636	0.386936	0.1
0.259895	0.334338	0.1
0.296325	0.288821	0.1
0.344037	0.251537	0.1
0.397481	0.226425	0.1
0.455116	0.213039	0.1
0.513284	0.210698	0.1
0.571541	0.219293	0.1
0.626239	0.239713	0.1
0.675856	0.271462	0.1
0.718224	0.310889	0.1
0.752382	0.358284	0.1
0.776972	0.411818	0.1
0.788339	0.469552	0.1
0.122333	0.0453021	0.1
0.225504	0.0426496	0.1
0.325784	0.0448463	0.1
0.425693	0.043221	0.1
0.526362	0.0425555	0.1
0.626772	0.0443951	0.1
0.726037	0.042822	0.1
0.824919	0.0420614	0.1
0.917865	0.0420113	0.1
0.0406362	0.876972	0.1
0.0445209	0.777293	0.1
0.0448319	0.676694	0.1
0.043668	0.575223	0.1
0.0413958	0.474708	0.1
0.0426708	0.375182	0.1
0.0433725	0.27562	0.1
0.0436806	0.176228	0.1
0.0421803	0.0822909	0.1
0.954084	0.122738	0.1
0.956535	0.225702	0.1
0.957168	0.325158	0.1
0.957379	0.424428	0.1
0.957575	0.524567	0.1
0.954276	0.625555	0.1
0.953572	0.725482	0.1
0.95474	0.825575	0.1
0.95692	0.918252	0.1
0.878314	0.957054	0.1
0.777064	0.956412	0.1
0.676314	0.958019	0.1
0.576363	0.956628	0.1
0.475751	0.95794	0.1
0.374846	0.954299	0.1
0.274193	0.953831	0.1
0.176782	0.957772	0.1
0.853008	0.919702	0.1
0.30107	0.089065	0.1
0.0901843	0.704724	0.1
0.402394	0.088898	0.1
0.201315	0.084269	0.1
0.502185	0.0831262	0.1
0.603396	0.088905	0.1
0.703908	0.0874581	0.1
0.800113	0.0822804	0.1
0.904555	0.0928636	0.1
0.0879475	0.805541	0.1
0.251136	0.0857453	0.1
0.0864475	0.549042	0.1
0.0834598	0.854141	0.1
0.0881789	0.600594	0.1
0.0905938	0.755555	0.1
0.0824843	0.449325	0.1
0.0856886	0.350729	0.1
0.0873027	0.25176	0.1
0.0875385	0.151857	0.1
0.912676	0.202684	0.1
0.911232	0.151018	0.1
0.82949	0.565864	0.1
0.552221	0.913412	0.1
0.915176	0.300341	0.1
0.913885	0.398555	0.1
0.914804	0.499045	0.1
0.912265	0.599543	0.1
0.903094	0.702486	0.1
0.912387	0.801517	0.1
0.904127	0.906172	0.1
0.451592	0.915831	0.1
0.149921	0.086941	0.1
0.0929468	0.0954564	0.1
0.603402	0.912584	0.1
0.75349	0.912769	0.1
0.502019	0.916895	0.1
0.652813	0.915832	0.1
0.349357	0.90667	0.1
