2433	4	1	1
773	754	436	759	
277	823	385	824	
779	439	645	737	
12	897	910	296	
443	446	744	654	
67	870	322	66	
563	564	164	873	
873	59	251	866	
623	335	774	719	
754	358	436	420	
325	579	578	859	
251	564	318	873	
693	597	271	596	
592	266	718	814	
14	297	912	15	
30	237	225	879	
842	374	674	266	
881	239	307	35	
438	508	805	491	
868	569	568	169	
165	564	873	164	
438	732	341	491	
242	891	40	884	
858	844	324	71	
628	372	299	334	
250	58	865	57	
250	357	563	318	
850	329	82	853	
419	450	752	753	
404	718	690	752	
673	593	374	674	
372	628	456	334	
41	242	40	884	
862	658	556	557	
737	644	345	645	
876	658	862	557	
157	556	862	874	
398	432	477	783	
862	657	874	556	
455	680	354	681	
245	47	887	46	
19	911	299	18	
888	47	887	313	
20	300	909	21	
319	867	252	566	
403	787	717	402	
427	377	772	466	
858	177	178	576	
47	245	887	313	
242	546	884	547	
694	380	455	379	
281	606	607	827	
399	713	398	477	
714	401	618	715	
242	891	884	546	
520	229	898	519	
429	790	739	703	
116	915	1	223	
608	391	704	390	
142	542	543	895	
537	237	879	590	
281	828	282	103	
607	828	827	208	
862	657	556	658	
115	293	840	114	
885	548	890	148	
589	264	852	851	
306	540	539	894	
898	297	912	14	
229	14	898	13	
657	352	340	731	
768	424	687	686	
800	460	748	799	
347	790	429	412	
335	622	623	774	
12	897	228	11	
897	518	228	554	
845	859	325	577	
285	394	612	708	
778	511	777	469	
391	496	704	390	
781	782	393	707	
551	550	349	244	
237	264	852	590	
647	790	347	412	
486	435	359	802	
885	548	148	549	
174	917	573	843	
386	824	385	603	
646	308	241	544	
256	856	323	70	
570	878	869	171	
515	746	481	762	
67	917	322	870	
39	883	241	38	
468	776	503	777	
151	551	552	896	
241	544	893	883	
724	397	712	476	
697	458	767	766	
647	545	646	241	
698	468	469	777	
768	776	453	767	
840	715	619	839	
186	854	585	849	
590	426	656	413	
786	715	480	785	
501	812	786	785	
785	516	501	812	
231	375	524	627	
713	398	477	783	
631	301	632	529	
583	683	362	327	
615	836	835	216	
669	567	871	568	
679	463	678	761	
666	419	665	753	
401	715	714	785	
423	684	362	260	
328	685	423	684	
304	905	906	535	
632	408	301	337	
562	163	162	875	
85	264	263	851	
337	233	301	631	
537	413	538	305	
798	751	403	717	
564	251	866	873	
811	479	516	478	
792	478	505	433	
713	478	714	784	
767	458	697	453	
233	529	301	631	
501	786	480	785	
292	291	400	838	
600	383	697	382	
479	501	480	785	
784	792	478	811	
905	303	236	27	
322	870	869	66	
424	768	495	453	
859	578	179	180	
699	698	469	777	
482	805	809	770	
350	443	653	654	
551	652	653	411	
801	734	491	489	
558	557	876	158	
386	471	701	700	
372	498	456	723	
797	506	744	796	
801	503	511	508	
771	804	746	459	
506	509	744	796	
612	613	286	833	
627	628	334	788	
749	800	786	447	
812	460	800	799	
784	727	726	434	
264	85	852	851	
709	475	395	788	
616	713	712	398	
485	765	381	454	
628	372	456	723	
551	886	151	150	
512	781	796	808	
482	805	770	445	
270	817	271	92	
652	551	349	411	
563	418	562	664	
223	916	621	690	
563	418	664	357	
562	663	664	418	
512	781	808	473	
231	375	627	334	
734	732	805	491	
517	505	728	793	
430	410	730	484	
506	512	796	797	
509	512	796	506	
831	284	610	830	
492	448	750	417	
22	908	301	233	
25	904	26	235	
476	432	712	725	
298	523	230	913	
611	612	832	213	
600	822	821	202	
839	220	219	618	
905	303	534	236	
726	432	783	434	
647	790	648	347	
710	396	723	456	
427	504	806	810	
875	864	162	561	
64	878	321	253	
863	316	559	877	
234	633	530	531	
575	858	324	576	
801	511	491	508	
341	732	734	491	
823	204	203	602	
801	735	734	489	
778	497	735	489	
212	611	832	213	
146	547	884	546	
891	146	884	546	
603	386	824	604	
297	899	521	912	
801	508	491	805	
890	242	41	884	
25	302	24	907	
500	624	342	625	
611	393	285	708	
173	917	870	572	
309	647	347	412	
905	303	914	534	
646	308	544	645	
317	56	875	864	
500	624	625	720	
537	237	413	305	
778	470	489	511	
489	778	801	735	
801	778	489	511	
236	636	534	637	
188	850	587	189	
699	385	469	384	
463	457	761	679	
724	437	789	711	
174	917	843	224	
888	553	554	313	
166	872	565	566	
673	435	810	759	
536	246	226	906	
554	227	228	897	
886	551	151	896	
173	917	572	174	
617	218	219	838	
907	904	532	131	
456	475	334	788	
132	904	131	532	
453	776	768	495	
226	246	536	861	
914	133	533	132	
779	646	645	343	
122	523	123	913	
133	914	533	534	
300	902	21	233	
650	441	741	651	
531	907	532	131	
132	533	904	532	
811	479	714	785	
727	633	726	338	
904	302	532	235	
537	137	136	879	
881	239	541	307	
483	460	516	813	
483	460	813	799	
890	547	242	884	
309	647	412	241	
347	790	648	739	
144	545	883	544	
380	272	695	381	
314	638	555	657	
314	861	555	246	
457	463	368	679	
304	638	637	535	
317	663	418	356	
862	657	658	247	
771	459	422	758	
536	304	906	535	
898	297	14	229	
900	911	18	231	
771	672	361	655	
864	356	662	561	
672	771	422	758	
253	878	321	671	
254	66	869	65	
672	570	671	321	
878	570	671	569	
860	588	851	263	
536	304	535	638	
251	565	564	866	
638	314	555	246	
747	430	731	795	
154	117	227	554	
668	566	667	252	
319	420	667	252	
567	867	167	566	
314	247	874	51	
284	393	611	707	
691	595	692	378	
487	500	510	720	
845	858	576	257	
126	526	901	125	
267	842	88	266	
592	266	814	842	
706	391	780	705	
88	842	814	266	
910	229	898	13	
742	441	428	651	
807	509	781	796	
553	350	654	364	
603	823	824	385	
660	863	316	559	
652	742	464	428	
110	289	835	288	
858	324	576	257	
577	845	576	257	
50	314	874	51	
472	507	392	780	
254	672	361	422	
472	391	780	392	
443	350	653	411	
77	259	847	327	
258	580	680	579	
701	471	736	700	
669	320	871	567	
335	487	499	719	
438	488	640	760	
325	579	859	258	
914	132	533	904	
182	580	857	181	
655	254	322	571	
405	677	366	577	
531	130	907	131	
632	529	301	530	
445	760	689	488	
639	228	296	518	
507	473	392	781	
592	266	674	718	
742	507	472	780	
339	636	533	303	
247	658	315	351	
850	83	330	860	
780	391	706	392	
706	781	780	392	
606	281	280	827	
38	308	37	893	
621	223	222	916	
300	630	528	407	
688	262	330	587	
688	330	588	587	
638	536	246	555	
536	861	246	555	
96	274	821	95	
96	822	821	274	
738	647	646	412	
650	442	348	414	
405	366	257	577	
872	867	319	566	
310	548	348	414	
316	660	559	661	
872	251	60	866	
908	530	903	301	
284	105	283	830	
284	610	611	831	
283	284	706	392	
286	613	287	833	
706	391	705	609	
237	537	413	590	
606	279	605	826	
236	636	637	410	
845	325	73	257	
352	658	247	351	
265	916	404	591	
226	135	8	536	
608	391	390	282	
402	294	620	717	
586	849	261	853	
867	320	871	62	
867	320	62	252	
245	350	312	552	
407	233	337	631	
551	889	886	150	
845	325	257	577	
886	45	312	896	
272	94	93	819	
325	405	257	577	
673	815	593	594	
250	563	865	318	
253	671	321	360	
632	234	633	530	
350	364	446	654	
903	531	130	907	
632	234	530	301	
881	540	894	140	
606	207	208	827	
734	735	642	489	
333	489	642	643	
504	427	806	502	
515	504	806	502	
86	264	85	852	
673	815	594	377	
542	333	643	373	
842	376	268	593	
441	415	428	651	
680	457	679	733	
815	269	90	816	
627	375	626	722	
680	457	733	455	
405	452	366	677	
890	547	884	147	
311	889	244	550	
553	350	364	245	
349	652	411	464	
842	815	593	268	
605	278	825	279	
877	160	161	560	
605	826	279	825	
666	358	753	754	
814	88	266	87	
421	253	360	670	
605	278	279	387	
804	504	803	806	
278	100	825	279	
563	418	357	250	
6	192	136	225	
320	668	359	252	
354	259	681	326	
263	85	851	84	
273	94	272	820	
577	845	178	576	
100	826	825	279	
600	274	273	821	
890	242	548	310	
146	547	147	884	
677	366	577	576	
606	605	388	702	
845	858	178	576	
256	575	574	844	
256	575	324	406	
256	331	575	406	
567	867	871	168	
254	322	571	869	
603	823	602	204	
892	537	879	137	
602	603	385	823	
345	543	645	644	
628	456	334	788	
105	284	106	831	
818	598	272	819	
586	261	686	329	
834	614	215	613	
424	768	767	686	
405	677	577	678	
586	261	585	686	
611	393	284	285	
613	614	287	834	
330	850	860	587	
355	417	749	661	
688	262	587	687	
903	531	907	234	
701	736	461	737	
261	424	686	329	
23	908	301	22	
396	397	711	437	
598	694	597	818	
801	503	777	511	
809	801	503	777	
297	342	335	624	
143	882	543	893	
521	899	297	522	
536	304	638	246	
292	113	838	839	
804	757	803	451	
460	416	447	800	
239	333	346	642	
228	227	554	888	
236	636	410	303	
533	635	235	532	
471	778	497	736	
424	369	767	453	
35	881	895	307	
778	497	489	470	
617	837	616	218	
633	408	726	338	
616	289	712	836	
603	386	700	385	
543	895	240	882	
551	886	244	312	
740	390	442	465	
479	714	478	811	
608	704	607	390	
668	756	359	755	
756	486	359	802	
308	240	882	543	
886	551	896	312	
385	603	602	699	
320	668	867	567	
872	251	866	565	
605	825	604	206	
286	613	612	709	
647	646	412	241	
668	420	359	252	
281	606	389	703	
876	557	862	158	
504	451	803	486	
709	394	708	612	
478	714	479	400	
724	397	437	711	
443	743	464	653	
349	551	244	411	
331	256	574	323	
256	856	574	323	
297	624	623	521	
633	408	632	726	
573	574	361	655	
228	888	313	48	
261	328	849	585	
701	471	387	461	
74	75	258	846	
352	430	340	731	
430	795	794	730	
135	226	906	536	
517	794	813	793	
897	11	227	228	
727	792	728	433	
259	76	857	326	
894	306	880	539	
597	694	693	271	
248	416	659	660	
680	258	365	326	
430	731	730	637	
441	650	442	348	
364	363	745	639	
394	709	708	722	
361	574	573	323	
622	639	296	519	
313	639	364	553	
824	604	278	825	
651	349	652	550	
115	294	840	293	
251	419	666	358	
345	543	644	240	
231	627	525	334	
525	628	299	334	
908	22	902	233	
752	450	419	490	
797	512	796	808	
449	490	404	752	
394	709	722	475	
627	628	525	334	
504	804	803	451	
336	232	527	629	
135	134	535	906	
383	382	458	697	
382	766	697	696	
732	641	341	734	
454	462	695	381	
710	396	711	789	
900	525	124	911	
724	630	789	437	
33	306	238	880	
287	614	613	710	
287	614	710	396	
287	614	396	288	
867	872	167	566	
353	436	674	773	
845	72	858	257	
764	682	681	354	
892	31	305	32	
662	750	356	417	
712	836	711	615	
529	908	528	233	
820	272	598	819	
662	663	356	750	
716	787	786	480	
798	663	750	356	
559	160	159	863	
578	679	368	678	
889	243	43	885	
261	849	586	585	
493	663	418	751	
757	360	758	670	
449	493	418	751	
311	889	43	44	
647	309	546	545	
790	738	429	412	
327	583	582	855	
647	738	790	412	
798	493	663	356	
438	640	341	732	
775	467	761	763	
674	374	673	759	
448	798	750	356	
757	451	758	360	
276	822	823	97	
31	237	30	879	
467	693	692	761	
305	344	538	238	
467	693	761	457	
493	798	448	356	
421	757	360	451	
253	568	871	868	
407	528	233	631	
682	462	764	791	
757	421	360	670	
683	765	454	791	
455	693	379	457	
893	544	241	308	
413	640	488	656	
863	316	877	54	
911	124	125	525	
767	369	766	458	
281	390	282	607	
379	817	596	271	
259	682	354	681	
248	53	54	863	
910	229	13	296	
863	316	54	248	
682	462	791	367	
16	899	230	15	
520	297	623	521	
528	300	902	527	
651	349	550	415	
454	462	367	791	
553	350	245	552	
740	441	442	496	
774	512	797	719	
862	315	876	52	
254	878	321	65	
878	254	869	65	
662	417	356	249	
784	434	478	433	
351	352	747	483	
67	917	870	224	
611	707	393	708	
820	94	272	819	
729	339	431	484	
757	804	758	451	
509	743	807	464	
78	77	855	327	
579	859	258	846	
509	743	744	796	
819	199	818	598	
199	597	818	598	
776	768	495	809	
457	463	761	467	
358	419	753	450	
749	661	660	355	
474	394	393	708	
858	72	324	257	
262	850	330	587	
500	624	720	487	
520	297	521	912	
269	594	595	816	
817	271	92	818	
817	597	818	198	
460	812	516	813	
379	817	271	270	
864	356	561	317	
563	163	865	164	
385	824	386	277	
867	668	320	252	
817	597	198	596	
817	597	596	271	
911	526	901	299	
409	635	532	235	
510	512	719	808	
910	119	898	519	
707	284	706	610	
598	271	818	272	
526	232	901	299	
553	152	887	153	
378	596	379	817	
900	525	911	231	
498	723	629	789	
518	910	296	519	
630	407	631	528	
210	830	609	829	
223	265	915	87	
306	894	880	33	
378	596	817	595	
487	512	499	719	
628	372	629	526	
595	269	816	817	
265	1	915	87	
760	438	732	640	
540	306	539	641	
595	377	378	691	
223	2	222	916	
735	643	497	736	
652	743	464	742	
595	269	817	378	
864	317	561	875	
45	886	312	244	
888	47	313	48	
386	278	277	824	
864	356	317	249	
294	115	840	841	
226	49	29	246	
620	293	840	294	
570	254	571	869	
917	68	67	255	
856	573	175	574	
376	772	673	810	
675	440	361	771	
798	493	448	403	
680	354	326	365	
841	294	620	840	
237	86	225	852	
322	870	571	869	
86	237	264	852	
277	823	824	98	
278	604	824	386	
160	559	877	863	
683	454	362	367	
862	315	52	247	
558	159	876	863	
575	177	858	576	
689	263	426	589	
640	488	438	344	
276	97	823	98	
696	600	697	382	
376	772	810	427	
269	817	378	270	
773	754	450	436	
378	596	595	692	
281	703	389	390	
287	834	288	109	
826	605	206	825	
837	111	290	836	
113	292	838	291	
314	657	555	874	
657	556	555	874	
874	657	247	314	
287	108	834	109	
782	474	393	708	
616	289	836	290	
42	243	885	43	
711	289	835	836	
889	243	885	550	
384	385	602	699	
336	498	629	789	
